"Strike","Bid1","Ask1","Apr.21.2017","Bid2","Ask2","May.19.2017","Bid3","Ask3","Jun.16.2017"
65,0,0.04,0.02,0,0.03,0.015,0,0.03,0.015
70,0,0.01,0.005,0,0.03,0.015,0,0.03,0.015
75,0,0.01,0.005,0.02,0.04,0.03,0.01,0.03,0.02
80,0,0.01,0.005,0.01,0.05,0.03,0.01,0.03,0.02
85,0,0.01,0.005,0,0.03,0.015,0.03,0.05,0.04
90,0,0.01,0.005,0.01,0.03,0.02,0.02,0.05,0.035
95,0,0.02,0.01,0.02,0.03,0.025,0.04,0.08,0.06
100,0,0.02,0.01,0.04,0.05,0.045,0.08,0.12,0.1
105,0.01,0.02,0.015,0.07,0.08,0.075,0.13,0.15,0.14
110,0.02,0.03,0.025,0.11,0.12,0.115,0.2,0.21,0.205
115,0.03,0.04,0.035,0.17,0.18,0.175,0.31,0.32,0.315
120,0.05,0.06,0.055,0.28,0.29,0.285,0.49,0.51,0.5
125,0.07,0.08,0.075,0.51,0.52,0.515,0.86,0.87,0.865
130,0.15,0.16,0.155,1,1.01,1.005,1.52,1.54,1.53
135,0.45,0.46,0.455,2,2.01,2.005,2.69,2.71,2.7
140,1.56,1.57,1.565,3.75,3.85,3.8,4.55,4.65,4.6
150,8.8,9,8.9,10.25,10.4,10.325,10.8,10.9,10.85
155,13.7,14.05,13.875,17,17.45,17.225,16.05,16.35,16.2
