"Strike","Bid1","Ask1","Apr.21.2017","Bid2","Ask2","May.19.2017","Bid3","Ask3","Jun.16.2017"
85,54.65,55.15,54.9,51.8,52.5,52.15,54.1,54.75,54.425
90,49.75,50.25,50,49.75,50.45,50.1,49.85,50.45,50.15
95,44.8,45.2,45,44.75,45.45,45.1,46.1,46.65,46.375
100,41.05,41.45,41.25,39.8,40.45,40.125,41.2,41.55,41.375
105,34.8,35.25,35.025,34.8,35.5,35.15,36.15,36.75,36.45
110,31.15,31.45,31.3,30,30.55,30.275,31.3,31.6,31.45
115,26.15,26.5,26.325,26.3,26.7,26.5,25.2,25.5,25.35
120,21.2,21.45,21.325,21.45,21.7,21.575,21.55,21.85,21.7
125,16.3,16.5,16.4,16.65,16.9,16.775,16.8,17.15,16.975
130,11.3,11.6,11.45,12.1,12.35,12.225,12.6,12.7,12.65
135,6.7,6.85,6.775,8.05,8.2,8.125,8.7,8.8,8.75
140,2.9,2.92,2.91,4.8,4.85,4.825,5.6,5.65,5.625
145,0.82,0.84,0.83,2.5,2.53,2.515,3.25,3.35,3.3
150,0.21,0.22,0.215,1.19,1.2,1.195,1.8,1.82,1.81
155,0.07,0.08,0.075,0.54,0.55,0.545,0.95,0.96,0.955
160,0.04,0.05,0.045,0.25,0.26,0.255,0.5,0.51,0.505
165,0.02,0.03,0.025,0.12,0.15,0.135,0.27,0.28,0.275
170,0,0.03,0.015,0.07,0.08,0.075,0.13,0.16,0.145
175,0,0.02,0.01,0.02,0.06,0.04,0.06,0.11,0.085
180,0,0.05,0.025,0.04,0.05,0.045,0.05,0.06,0.055
